Taxon,SiteId,lon,lat,FA,EUROMED,Cover
Primula hirsuta,CBNA_1298391,5.98606791711,45.2016708688,600010190,28884,0
Primula hirsuta,CBNA_441622,5.91522982945,45.1238969004,600010190,28884,0
Primula hirsuta,CBNA_441641,5.91969407738,45.134020177,600010190,28884,0
Primula hirsuta,CBNA_441642,5.91998226704,45.133201711,600010190,28884,0
Primula hirsuta,CBNA_441664,5.92713671911,45.1332844352,600010190,28884,0
Primula hirsuta,CBNA_441666,5.92774885028,45.1338765563,600010190,28884,0
Primula hirsuta,CBNA_441668,5.92842383786,45.1333362368,600010190,28884,0
Primula hirsuta,CBNA_441671,5.93133983556,45.1333542246,600010190,28884,0
Primula hirsuta,CBNA_441676,5.93112401442,45.1320308842,600010190,28884,0
Primula hirsuta,CBNA_441680,5.923510186,45.1271805413,600010190,28884,0
Primula pedemontana,CBNA_1298402,6.86943206392,45.2065627913,600010230,29063,0
Primula hirsuta,CBNA_441701,5.92364447764,45.1338941441,600010190,28884,0
Primula pedemontana,CBNA_1298403,6.91078305117,45.1766874708,600010230,29063,0
Primula hirsuta,CBNA_441703,5.92497742812,45.1350034874,600010190,28884,0
Primula pedemontana,CBNA_1298406,6.91818963911,45.1694768128,600010230,29063,0
Primula pedemontana,CBNA_1298407,6.92336218137,45.1680644015,600010230,29063,0
Primula hirsuta,CBNA_441707,5.92666922719,45.135999781,600010190,28884,0
Primula hirsuta,CBNA_441711,5.93269077924,45.1363191231,600010190,28884,0
Primula hirsuta,CBNA_441716,5.93462556988,45.136957509,600010190,28884,0
Primula hirsuta,CBNA_450066,6.13164334956,45.0484262344,600010190,28884,0
Primula hirsuta,CBNA_450071,6.13552273677,45.0486504489,600010190,28884,0
Primula hirsuta,CBNA_1298319,5.90451403975,45.1186308541,600010190,28884,0
Primula hirsuta,CBNA_450173,6.20023657915,44.9353729625,600010190,28884,0
Primula hirsuta,RESBO_646940,5.91388101783,45.014631287,600010190,28884,0
Primula hirsuta,CBNA_497404,6.05898533512,44.831819174,600010190,28884,0
Primula hirsuta,CBNA_497413,6.06407128004,44.827426036,600010190,28884,0
Primula hirsuta,CBNA_497426,6.11525555583,44.8478140219,600010190,28884,0
Primula hirsuta,CBNA_697618,6.39391488232,44.8722920402,600010190,28884,0
Primula hirsuta,CBNA_925869,6.07496579602,45.2305439544,600010190,28884,0
Primula hirsuta,CBNA_925598,6.14031071559,45.2430493972,600010190,28884,0
Primula hirsuta,CBNA_925595,6.13993749375,45.2424381012,600010190,28884,0
Primula hirsuta,CBNA_925467,6.15681358894,45.2525239459,600010190,28884,0
Primula hirsuta,CBNA_925255,5.99867577035,45.2029999019,600010190,28884,0
Primula hirsuta,CBNA_925241,5.99910309419,45.201569238,600010190,28884,0
Primula hirsuta,CBNA_925205,6.00063738571,45.2016496537,600010190,28884,0
Primula hirsuta,CBNA_925164,6.01003354019,45.20370796,600010190,28884,0
Primula hirsuta,CBNA_925145,6.01457630719,45.2014092866,600010190,28884,0
Primula hirsuta,JORDE_89026,6.87398018615,45.9875484157,600010190,28884,0
Primula hirsuta,JORDE_89116,6.87400896636,45.9872408943,600010190,28884,0
Primula hirsuta,CBNA_497648,6.15797813592,45.2005760581,600010190,28884,0
Primula hirsuta,JORDE_89268,6.85473740379,45.9522193565,600010190,28884,0
Primula hirsuta,JORDE_89280,6.85237345413,45.9451189218,600010190,28884,0
Primula hirsuta,CBNA_1143717,6.02090387506,45.2243960327,600010190,28884,0
Primula hirsuta,CBNA_497615,6.10484008187,45.236259635,600010190,28884,0
Primula hirsuta,CBNA_497620,6.1069909382,45.2378804263,600010190,28884,0
Primula hirsuta,JORDE_88548,6.84903012986,45.9351577779,600010190,28884,0
Primula hirsuta,CBNA_923590,6.08354832236,45.2092799284,600010190,28884,0
Primula hirsuta,AAAAA_428610,6.06366478915,44.9628297368,600010190,28884,0
Primula hirsuta,JORDE_89704,6.96317345693,45.9688261076,600010190,28884,0
Primula hirsuta,CBNA_428287,6.05882223696,44.9430996956,600010190,28884,2
Primula pedemontana,CBNA_924505,7.02698148409,45.3467561504,600010230,29063,0
Primula hirsuta,CBNA_497855,6.16266717037,45.3371124867,600010190,28884,0
Primula hirsuta,CBNA_428247,6.06334104668,44.9423715271,600010190,28884,0
Primula hirsuta,CBNA_428249,6.0642136144,44.9413473182,600010190,28884,1
Primula hirsuta,CBNA_428252,6.06541962066,44.9411293436,600010190,28884,0
Primula hirsuta,CBNA_428259,6.04989420193,44.9445659806,600010190,28884,0
Primula hirsuta,CBNA_428260,6.04880527463,44.9450283552,600010190,28884,0
Primula hirsuta,CBNA_428265,6.04459295727,44.9424903035,600010190,28884,0
Primula hirsuta,CBNA_428272,6.0618920572,44.9502910386,600010190,28884,1
Primula hirsuta,CBNA_428273,6.0616038174,44.949555622,600010190,28884,1
Primula hirsuta,CBNA_428290,6.05720244308,44.9459554997,600010190,28884,1
Primula hirsuta,CBNA_428291,6.05677099554,44.9467918154,600010190,28884,1
Primula hirsuta,CBNA_644529,6.1121147265,44.7729056239,600010190,28884,0
Primula hirsuta,CBNA_428302,6.06168426742,44.9608299251,600010190,28884,0
Primula hirsuta,CBNA_428307,6.05906587908,44.948886655,600010190,28884,0
Primula hirsuta,CBNA_428309,6.05568117347,44.9475471191,600010190,28884,0
Primula hirsuta,CBNA_428314,6.06720151689,44.9667959248,600010190,28884,0
Primula hirsuta,AAAAA_428608,6.05766153325,44.9614317148,600010190,28884,0
Primula hirsuta,AAAAA_428333,6.04619562329,44.9545652594,600010190,28884,2
Primula hirsuta,CBNA_428377,5.84905123364,45.0742425494,600010190,28884,0
Primula hirsuta,CBNA_428410,6.09691157583,45.0380216626,600010190,28884,0
Primula hirsuta,CBNA_428427,5.90001908493,45.1317449706,600010190,28884,0
Primula hirsuta,CBNA_428431,5.90150437317,45.1348688897,600010190,28884,0
Primula hirsuta,CBNA_428432,5.89930811895,45.1351557737,600010190,28884,0
Primula hirsuta,CBNA_428440,5.88991183268,45.1392064519,600010190,28884,0
Primula hirsuta,CBNA_428441,5.89066779715,45.1396103341,600010190,28884,0
Primula hirsuta,CBNA_428442,5.89089275966,45.1396991088,600010190,28884,0
Primula hirsuta,CBNA_428446,5.89251283577,45.137350511,600010190,28884,0
Primula hirsuta,CBNA_428457,5.89910059977,45.1392517717,600010190,28884,0
